REGION,_REGION,TIMESLICE,FUEL,YEAR,VALUE
Globe,Globe,IN,C1_F_HEA_R,2044,-0.0
Globe,Globe,IN,C1_F_HEA_R,2045,-0.0
Globe,Globe,IN,C1_F_HEA_R,2046,-0.0
Globe,Globe,IN,C1_F_HEA_R,2047,-0.0
Globe,Globe,IN,C1_F_HEA_R,2048,-0.0
Globe,Globe,IN,C1_F_HEA_R,2049,-0.0
Globe,Globe,IN,C1_F_HEA_R,2050,-0.0
Globe,Globe,IN,C1_F_HEA_R,2051,-0.0
Globe,Globe,IN,C1_F_HEA_R,2052,-0.0
Globe,Globe,IN,C1_F_HEA_R,2053,-0.0
Globe,Globe,IN,C1_F_HEA_R,2054,-0.0
Globe,Globe,IN,C1_F_HEA_R,2055,-0.0
Globe,Globe,IN,C1_F_HEA_R,2056,-0.0
Globe,Globe,IN,C1_F_HEA_R,2057,-0.0
Globe,Globe,IN,C1_F_HEA_R,2058,-0.0
Globe,Globe,IN,C1_F_HEA_R,2059,-0.0
Globe,Globe,IN,C1_F_HEA_R,2060,-0.0
Globe,Globe,IN,C1_F_HEA_R,2061,-0.0
Globe,Globe,IN,C1_F_HEA_R,2062,-0.0
Globe,Globe,IN,C1_F_HEA_R,2063,-0.0
Globe,Globe,IN,C1_F_HEA_R,2064,-0.0
Globe,Globe,IN,C1_F_HEA_R,2065,-0.0
Globe,Globe,IN,C1_F_HEA_R,2066,-0.0
Globe,Globe,IN,C1_F_HEA_R,2067,-0.0
Globe,Globe,IN,C1_F_HEA_R,2068,-0.0
Globe,Globe,IN,C1_F_HEA_R,2069,-0.0
Globe,Globe,IN,C1_F_HEA_R,2070,-0.0
Globe,Globe,IN,C1_F_MOT,2010,-0.0
Globe,Globe,IN,C1_F_MOT,2011,-0.0
Globe,Globe,IN,C1_F_MOT,2012,-0.0
Globe,Globe,IN,C1_F_MOT,2013,-0.0
Globe,Globe,IN,C1_F_MOT,2014,-0.0
Globe,Globe,IN,C1_F_MOT,2015,-0.0
Globe,Globe,IN,C1_F_MOT,2016,-0.0
Globe,Globe,IN,C1_F_MOT,2017,-0.0
Globe,Globe,IN,C1_F_MOT,2018,-0.0
Globe,Globe,IN,C1_F_MOT,2019,-0.0
Globe,Globe,IN,C1_F_MOT,2020,-0.0
Globe,Globe,IN,C1_F_MOT,2021,-0.0
Globe,Globe,IN,C1_F_MOT,2022,-0.0
Globe,Globe,IN,C1_F_MOT,2023,-0.0
Globe,Globe,IN,C1_F_MOT,2024,-0.0
Globe,Globe,IN,C1_F_MOT,2025,-0.0
Globe,Globe,IN,C1_F_MOT,2026,-0.0
Globe,Globe,IN,C1_F_MOT,2027,-0.0
Globe,Globe,IN,C1_F_MOT,2028,-0.0
Globe,Globe,IN,C1_F_MOT,2029,-0.0
Globe,Globe,IN,C1_F_MOT,2030,-0.0
Globe,Globe,IN,C1_F_MOT,2031,-0.0
Globe,Globe,IN,C1_F_MOT,2032,-0.0
Globe,Globe,IN,C1_F_MOT,2033,-0.0
Globe,Globe,IN,C1_F_MOT,2034,-0.0
Globe,Globe,IN,C1_F_MOT,2035,-0.0
Globe,Globe,IN,C1_F_MOT,2036,-0.0
Globe,Globe,IN,C1_F_MOT,2037,-0.0
Globe,Globe,IN,C1_F_MOT,2038,-0.0
Globe,Globe,IN,C1_F_MOT,2039,-0.0
Globe,Globe,IN,C1_F_MOT,2040,-0.0
Globe,Globe,IN,C1_F_MOT,2041,-0.0
Globe,Globe,IN,C1_F_MOT,2042,-0.0
Globe,Globe,IN,C1_F_MOT,2043,-0.0
Globe,Globe,IN,C1_F_MOT,2044,-0.0
Globe,Globe,IN,C1_F_MOT,2045,-0.0
Globe,Globe,IN,C1_F_MOT,2046,-0.0
Globe,Globe,IN,C1_F_MOT,2047,-0.0
Globe,Globe,IN,C1_F_MOT,2048,-0.0
Globe,Globe,IN,C1_F_MOT,2049,-0.0
Globe,Globe,IN,C1_F_MOT,2050,-0.0
Globe,Globe,IN,C1_F_MOT,2051,-0.0
Globe,Globe,IN,C1_F_MOT,2052,-0.0
Globe,Globe,IN,C1_F_MOT,2053,-0.0
Globe,Globe,IN,C1_F_MOT,2054,-0.0
Globe,Globe,IN,C1_F_MOT,2055,-0.0
Globe,Globe,IN,C1_F_MOT,2056,-0.0
