TIMESLICE,YEAR,TECHNOLOGY,MODE_OF_OPERATION,REGION,VALUE
IP,2031,LA,1,Globe,54.374433108000005
IP,2031,LA1_i,1,Globe,4.1681687028
IP,2031,LA1_i_PROD,1,Globe,4.1681687028
IP,2031,LA2,1,Globe,50.206264571999995
IP,2031,LA2_PROD,1,Globe,50.206264571999995
IP,2031,LandRes,1,Globe,797.7566785199999
IP,2031,LF,1,Globe,408.78999558
IP,2031,LF1,1,Globe,27.968679558000005
IP,2031,LF2,1,Globe,380.82131352
IP,2031,LF2_PROD,1,Globe,380.82131352
IP,2031,LO,1,Globe,325.26
IP,2031,MFOOFACTOR,1,Globe,0.10729078902000001
IP,2031,PETAPLANT,1,Globe,1.7762868102e-08
IP,2031,XALUMINE,1,Globe,0.51632340354
IP,2031,XCEMMINE,1,Globe,4.4393520594
IP,2031,XPHOMINE,1,Globe,2.7317310546e-09
IP,2031,XPHOMINE,2,Globe,8.254798643400001e-08
IP,2032,ALUPLANT,1,Globe,0.51451527486
IP,2032,C1BFRDF00,1,Globe,0.034773540762
IP,2032,C1BMBRFH1,1,Globe,0.64991519154
IP,2032,C1BMBRFN1,1,Globe,1.840071297
IP,2032,C1BMCHP00,1,Globe,0.066396935088
IP,2032,C1BMIGPCS,1,Globe,0.14462241378
IP,2032,C1BMLP000,1,Globe,0.33523498193999995
IP,2032,C1BMSCP00,1,Globe,0.021017712396
IP,2032,C1CO00I00,1,Globe,5.490153862200001
IP,2032,C1COCHP00,1,Globe,0.10507259087999998
IP,2032,C1COHTF03,1,Globe,1.5679447698
IP,2032,C1COIGP00,1,Globe,0.00894234816
IP,2032,C1COSCP00,1,Globe,1.6236759024
IP,2032,C1COSCPCS,1,Globe,0.13065533238000002
IP,2032,C1ELEFF00,1,Globe,10.683191388000001
IP,2032,C1ELRDF00,1,Globe,0.039309603378
IP,2032,C1GOCVP00,1,Globe,0.012834899712000001
IP,2032,C1HFGCP00,1,Globe,0.23764290402000002
IP,2032,C1HFGCPCH,1,Globe,0.4694732784
IP,2032,C1HFMRF00,1,Globe,10.527149154
IP,2032,C1HTOOTFI,1,Globe,3.988012443
IP,2032,C1HTOOTFR,1,Globe,0.6393347172600001
IP,2032,C1HYDMP00,1,Globe,1.2279608334000003
IP,2032,C1HYMIP00,1,Globe,0.066904545018
IP,2032,C1LFBRFN1,1,Globe,0.23670921600000003
IP,2032,C1LFCCP00,1,Globe,0.30167274528000004
IP,2032,C1LFRDF00,1,Globe,2.0016
IP,2032,C1NG00I00,1,Globe,13.168348758
IP,2032,C1NGBRFN1,1,Globe,1.1395186362
