REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
Globe,IN,LA,1,L_AGR,2036,6494.3733
Globe,IN,LA,1,L_AGR,2037,6511.9636
Globe,IN,LA,1,L_AGR,2038,6527.9705
Globe,IN,LA,1,L_AGR,2039,6543.2935
Globe,IN,LA,1,L_AGR,2040,6558.5707
Globe,IN,LA,1,L_AGR,2041,6561.5295
Globe,IN,LA,1,L_AGR,2042,6564.3619
Globe,IN,LA,1,L_AGR,2043,6566.349
Globe,IN,LA,1,L_AGR,2044,6566.5103
Globe,IN,LA,1,L_AGR,2045,6565.668
Globe,IN,LA,1,L_AGR,2046,6565.5125
Globe,IN,LA,1,L_AGR,2047,6564.1857
Globe,IN,LA,1,L_AGR,2048,6560.9569
Globe,IN,LA,1,L_AGR,2049,6557.2487
Globe,IN,LA,1,L_AGR,2050,6551.4545
Globe,IN,LA,1,L_AGR,2051,6539.8755
Globe,IN,LA,1,L_AGR,2052,6526.8845
Globe,IN,LA,1,L_AGR,2053,6512.4109
Globe,IN,LA,1,L_AGR,2054,6496.3805
Globe,IN,LA,1,L_AGR,2055,6478.7156
Globe,IN,LA,1,L_AGR,2056,6492.693
Globe,IN,LA,1,L_AGR,2057,6508.4591
Globe,IN,LA,1,L_AGR,2058,6523.494
Globe,IN,LA,1,L_AGR,2059,6538.4799
Globe,IN,LA,1,L_AGR,2060,6553.4659
Globe,IN,LA,1,L_AGR,2061,6558.6886
Globe,IN,LA,1,L_AGR,2062,6563.1802
Globe,IN,LA,1,L_AGR,2063,6568.4518
Globe,IN,LA,1,L_AGR,2064,6573.7235
Globe,IN,LA,1,L_AGR,2065,3552.7705
Globe,IN,LA,1,L_AGR,2066,3555.4144
Globe,IN,LA,1,L_AGR,2067,3677.5194
Globe,IN,LA,1,L_AGR,2068,5772.6575
Globe,IN,LA,1,L_AGR,2069,6598.4727
Globe,IN,LA,1,L_AGR,2070,6603.7444
Globe,IN,LA1,1,L_AGR_VFOO,2010,1681.4314
Globe,IN,LA1,1,L_AGR_VFOO,2011,1638.6197
Globe,IN,LA1,1,L_AGR_VFOO,2012,1663.2845
Globe,IN,LA1,1,L_AGR_VFOO,2013,1688.0143
Globe,IN,LA1,1,L_AGR_VFOO,2014,1713.0037
Globe,IN,LA1,1,L_AGR_VFOO,2015,1741.5639
Globe,IN,LA1,1,L_AGR_VFOO,2016,1772.7213
Globe,IN,LA1,1,L_AGR_VFOO,2017,1804.0734
Globe,IN,LA1,1,L_AGR_VFOO,2018,1835.5554
Globe,IN,LA1,1,L_AGR_VFOO,2019,1867.2693
Globe,IN,LA1,1,L_AGR_VFOO,2020,1899.0109
Globe,IN,LA1,1,L_AGR_VFOO,2021,1893.9976
Globe,IN,LA1,1,L_AGR_VFOO,2022,1887.6172
Globe,IN,LA1,1,L_AGR_VFOO,2023,1879.8776
Globe,IN,LA1,1,L_AGR_VFOO,2024,1870.6995
Globe,IN,LA1,1,L_AGR_VFOO,2025,1859.9171
Globe,IN,LA1,1,L_AGR_VFOO,2026,1848.2045
