TIMESLICE,YEAR,MODE_OF_OPERATION,TECHNOLOGY,REGION,VALUE
ID,2016,1,C1BMBRFH1,Globe,6.788550051360001
ID,2016,1,C1BMCHP00,Globe,0.27582319065600003
ID,2016,1,C1BMHTF03,Globe,2.52637545024
ID,2016,1,C1BMLP000,Globe,1.8692952224761972
ID,2016,1,C1BMSCP00,Globe,0.3972204971274722
ID,2016,1,C1CO00I00,Globe,69.04491692930978
ID,2016,1,C1COCHP00,Globe,1.2183289282307521
ID,2016,1,C1COHTF03,Globe,22.631920736899996
ID,2016,1,C1COSCP00,Globe,20.88557161483836
ID,2016,1,C1ELEFF00,Globe,31.16914335074803
ID,2016,1,C1ELRLF00,Globe,3.920000000000001
ID,2016,1,C1GOCVP00,Globe,0.091622928384
ID,2016,1,C1GOHTF03,Globe,0.18788833440000002
ID,2016,1,C1HFGCPCH,Globe,0.080990975952
ID,2016,1,C1HFMRF00,Globe,44.22595
ID,2016,1,C1HPASF01,Globe,1.9762004919757592
ID,2016,1,C1HTOOTFI,Globe,36.112018428415055
ID,2016,1,C1HTOOTFR,Globe,14.035613489838077
ID,2016,1,C1HYDMP00,Globe,5.448203982935426
ID,2016,1,C1HYMIP00,Globe,0.3687770643840001
ID,2016,1,C1LFCCP00,Globe,0.253552496122224
ID,2016,1,C1LFRDF00,Globe,9.82407297
ID,2016,1,C1NG00I00,Globe,53.219225989438954
ID,2016,1,C1NGBRFH1,Globe,5.33458340208
ID,2016,1,C1NGBRFN1,Globe,9.095161443530168
ID,2016,1,C1NGCCP00,Globe,6.471452354688
ID,2016,1,C1NGCCPCH,Globe,0.685617111936
ID,2016,1,C1NGGCPCH,Globe,0.6846892124399999
ID,2016,1,C1NGHTF03,Globe,13.963325567769912
ID,2016,1,C1NU00I00,Globe,2.205116112792453
ID,2016,1,C1NULWP00,Globe,0.8001146998521236
ID,2016,1,C1OI00I00,Globe,78.1626067
ID,2016,1,C1OIHTF03,Globe,7.1160753003021195
ID,2016,1,C1OIRFP00,Globe,27.599145480831748
ID,2016,2,C1OIRFP00,Globe,30.68898966612135
ID,2016,1,C1SOC1P00,Globe,0.0052030615680000005
ID,2016,1,C1SOTHF00,Globe,0.7561782812159997
ID,2016,1,C1SOV1P00,Globe,0.284289502896
ID,2016,1,C1SOV2P00,Globe,0.216216114048
ID,2016,1,C1WDOFP00,Globe,0.00437057171712
ID,2016,1,C1WDONP00,Globe,0.47253048924672
ID,2016,1,CEMPLANT,Globe,5.057331975991367
ID,2016,1,FERTPLANT,Globe,0.00018751768531506492
ID,2016,1,LA,Globe,2409.131995131983
ID,2016,1,LA1,Globe,746.1576761710481
ID,2016,1,LA1_i,Globe,168.56274000000002
ID,2016,1,LA1_i_PROD,Globe,168.56274000000002
ID,2016,1,LA1_PROD,Globe,746.1576761710481
ID,2016,1,LA2,Globe,1494.411578960935
ID,2016,1,LA2_PROD,Globe,1494.411578960935
ID,2016,1,LandRes,Globe,5962.0247
ID,2016,1,LF,Globe,1765.5227048680172
ID,2016,1,LF1,Globe,588.9155
ID,2016,1,LF2,Globe,1176.6072048680167
ID,2016,1,LF2_PROD,Globe,1176.6072048680167
ID,2016,1,LO,Globe,1787.37
ID,2016,1,MFOOFACTOR,Globe,2.6899408421296833
ID,2016,1,PAPPLANT,Globe,2.881428380887764
ID,2016,1,PETAPLANT,Globe,4.38994746154249e-06
ID,2016,1,PETBPLANT,Globe,21.858096379061635
ID,2016,1,STEPLANT,Globe,12.51360976687119
ID,2016,1,VFOOFACTOR,Globe,32.11937579294595
ID,2016,1,XALUMINE,Globe,1.8962456076032106
ID,2016,1,XCEMMINE,Globe,21.71618350490693
ID,2016,1,XPHOMINE,Globe,6.000565930082077e-07
ID,2016,1,XPOTMINE,Globe,1.312623797205454e-07
ID,2016,1,XSTEMINE,Globe,19.25763204657991
ID,2017,1,ALUPLANT,Globe,2.142802812273455
ID,2017,1,C1BFRDF00,Globe,0.1710165942440537
ID,2017,1,C1BMBRFH1,Globe,6.034106124
ID,2017,1,C1BMBRFN1,Globe,0.5732480413793026
ID,2017,1,C1BMCHP00,Globe,0.321867169776
ID,2017,1,C1BMHTF03,Globe,2.34571359024
ID,2017,1,C1BMLP000,Globe,1.8708174756130242
ID,2017,1,C1BMSCP00,Globe,0.3986499345840001
